"id","name","capacity","fluvial_protection","pluvial_protection","gameversion_id"
"7","Natucity","7","10","8","3"
"8","Dyktown","10","10","6","3"
"9","Unbesvillage","10","7","8","3"
"13","Natucity","7","10","8","5"
"14","Dyktown","10","10","6","5"
"15","Unbesvillage","10","7","8","5"
"16","Natucity","7","10","8","7"
"17","Dyktown","10","10","6","7"
"18","Unbesvillage","10","7","8","7"
"26","Natucity","7","10","8","11"
"27","Dyktown","10","10","6","11"
"28","Unbesvillage","10","7","8","11"
"29","Naturcity","7","10","8","12"
"30","Dyketown","10","10","6","12"
"31","Unbesvillage","10","7","8","12"
