"id","measuretype_id","playerround_id"
"1","122","554"
"2","136","568"
"3","134","567"
"4","132","575"
"5","136","575"
"6","133","576"
"7","132","585"
"8","133","585"
"9","134","584"
"10","132","633"
"11","133","634"
"12","132","629"
"13","133","629"
"14","134","629"
"15","134","630"
"16","133","650"
"17","133","647"
"18","136","647"
"19","132","652"
"20","133","643"
"21","136","665"
"22","136","669"
"23","132","662"
"24","132","661"
"25","133","664"
"26","133","671"
"27","132","675"
"28","133","675"
"29","136","675"
"30","132","684"
"31","133","702"
"32","133","674"
"33","132","694"
"34","136","708"
"35","136","706"
"36","132","699"
"37","134","699"
"38","132","716"
"39","132","713"
"40","133","713"
"41","133","724"
"42","132","721"
"43","134","721"
"44","133","723"
"45","134","723"
"46","132","730"
"47","134","730"
"48","134","733"
"49","132","727"
"50","133","727"
"51","134","727"
"52","136","727"
"53","132","731"
"54","133","731"
"55","133","734"
"56","132","778"
"57","133","786"
"58","132","781"
"59","133","780"
"60","132","793"
"61","133","795"
"62","133","797"
"63","136","797"
"64","136","804"
"65","133","802"
"66","132","799"
"67","132","792"
"68","133","790"
"69","132","800"
"70","136","832"
"71","132","819"
"72","132","828"
"73","132","818"
"74","132","824"
"75","132","823"
"76","133","823"
"77","133","821"
"78","134","821"
"79","132","855"
"80","133","854"
"81","136","854"
"82","133","852"
"83","134","852"
"84","132","853"
"85","134","853"
"86","132","836"
"87","134","844"
"88","132","870"
"89","133","870"
"90","134","870"
"91","136","870"
"92","132","872"
"93","136","872"
"94","132","874"
"95","133","874"
"96","136","874"
"97","133","897"
"98","133","888"
"99","133","891"
"100","134","885"
"101","132","887"
"102","133","887"
"103","132","883"
"104","132","890"
"105","133","890"
"106","134","890"
"107","132","893"
"108","133","881"
"109","132","880"
"110","132","898"
"111","133","898"
"112","134","898"
"113","136","898"
"114","132","916"
"115","133","915"
"116","136","915"
"117","133","913"
"118","136","913"
"119","133","914"
"120","132","917"
