"id","name","initial_satisfaction","initial_money","maximum_mortgage","living_costs","round_income","satisfaction_cost_per_point","preferred_house_rating","scenario_id"
"8","Welfare 050","5","0","80000","20000","50000","4000","3","3"
"9","Welfare 065","5","5000","110000","30000","65000","6000","4","3"
"10","Welfare 080","5","15000","130000","40000","80000","8000","5","3"
"11","Welfare 100","5","30000","170000","50000","100000","10000","6","3"
"12","Welfare 120","5","50000","200000","65000","120000","13000","7","3"
"13","Welfare 180","5","80000","300000","105000","180000","21000","8","3"
"14","Welfare 050","5","0","80000","20000","50000","4000","3","4"
"15","Welfare 065","5","5000","110000","30000","65000","6000","4","4"
"16","Welfare 080","5","15000","130000","40000","80000","8000","5","4"
"17","Welfare 100","5","30000","170000","50000","100000","10000","6","4"
"18","Welfare 120","5","50000","200000","65000","120000","13000","7","4"
"19","Welfare 180","5","80000","300000","105000","180000","21000","8","4"
"56","Welfare 050","5","0","80000","20000","50000","4000","3","11"
"57","Welfare 065","5","5000","110000","30000","65000","6000","4","11"
"58","Welfare 080","5","15000","130000","40000","80000","8000","5","11"
"59","Welfare 100","5","30000","170000","50000","100000","10000","6","11"
"60","Welfare 120","5","50000","200000","65000","120000","13000","7","11"
"61","Welfare 180","5","80000","300000","105000","180000","21000","8","11"
"62","Welfare 050","5","0","80000","20000","50000","4000","3","12"
"63","Welfare 065","5","5000","110000","30000","65000","6000","4","12"
"64","Welfare 080","5","15000","130000","40000","80000","8000","5","12"
"65","Welfare 100","5","30000","170000","50000","100000","10000","6","12"
"66","Welfare 120","5","50000","200000","65000","120000","13000","7","12"
"67","Welfare 180","5","80000","300000","105000","180000","21000","8","12"
"69","Welfare 050","5","0","80000","20000","50000","4000","3","13"
"70","Welfare 065","5","5000","110000","30000","65000","6000","4","13"
"71","Welfare 080","5","15000","130000","40000","80000","8000","5","13"
"72","Welfare 100","5","30000","170000","50000","100000","10000","6","13"
"73","Welfare 120","5","50000","200000","65000","120000","13000","7","13"
"74","Welfare 180","5","80000","300000","105000","180000","21000","8","13"
"75","Welfare 050","5","0","80000","20000","50000","4000","3","14"
"76","Welfare 065","5","5000","110000","30000","65000","6000","4","14"
"77","Welfare 080","5","15000","130000","40000","80000","8000","5","14"
"78","Welfare 100","5","30000","170000","50000","100000","10000","6","14"
"79","Welfare 120","5","50000","200000","65000","120000","13000","7","14"
"80","Welfare 180","5","80000","300000","105000","180000","21000","8","14"
"105","Welfare 050","5","0","80000","20000","50000","4000","3","19"
"106","Welfare 065","5","5000","110000","30000","65000","6000","4","19"
"107","Welfare 080","5","15000","130000","40000","80000","8000","5","19"
"108","Welfare 100","5","30000","170000","50000","100000","10000","6","19"
"109","Welfare 120","5","50000","200000","65000","120000","13000","7","19"
"110","Welfare 180","5","80000","300000","105000","180000","21000","8","19"
"117","Welfare 050","5","0","80000","20000","50000","4000","3","21"
"118","Welfare 065","5","5000","110000","30000","65000","6000","4","21"
"119","Welfare 080","5","15000","130000","40000","80000","8000","5","21"
"120","Welfare 100","5","30000","170000","50000","100000","10000","6","21"
"121","Welfare 120","5","50000","200000","65000","120000","13000","7","21"
"122","Welfare 180","5","80000","300000","105000","180000","21000","8","21"
